"id","pop","loc","city","X_id","state"
"315",36571,"[ -71.111495 , 42.312596]","JAMAICA PLAIN",2130,"MA"
"316",32677,"[ -71.129543 , 42.283615]","ROSLINDALE",2131,"MA"
"317",26366,"[ -71.158868 , 42.27868]","WEST ROXBURY",2132,"MA"
"318",23775,"[ -71.132866 , 42.353519]","ALLSTON",2134,"MA"
"319",35011,"[ -71.156599 , 42.34779]","BRIGHTON",2135,"MA"
"320",24260,"[ -71.126052 , 42.253989]","HYDE PARK",2136,"MA"
"321",33841,"[ -71.125611 , 42.377045]","CAMBRIDGE",2138,"MA"
"322",33149,"[ -71.104155 , 42.364688]","CAMBRIDGE",2139,"MA"
"323",16313,"[ -71.129379 , 42.391366]","NORTH CAMBRIDGE",2140,"MA"
"324",10392,"[ -71.088277 , 42.370701]","EAST CAMBRIDGE",2141,"MA"
"325",1336,"[ -71.083011 , 42.362025]","CAMBRIDGE",2142,"MA"
"326",25597,"[ -71.102814 , 42.382945]","SOMERVILLE",2143,"MA"
"327",26374,"[ -71.122059 , 42.40032]","SOMERVILLE",2144,"MA"
"328",24422,"[ -71.092944 , 42.390678]","SOMERVILLE",2145,"MA"
"329",56614,"[ -71.128917 , 42.339158]","BROOKLINE",2146,"MA"
"330",54114,"[ -71.060507 , 42.42911]","MALDEN",2148,"MA"
"331",35493,"[ -71.051448 , 42.411199]","EVERETT",2149,"MA"
"332",28790,"[ -71.032521 , 42.396252]","CHELSEA",2150,"MA"
"333",42766,"[ -71.005165 , 42.413767]","REVERE",2151,"MA"
"334",18907,"[ -70.980043 , 42.376294]","WINTHROP",2152,"MA"
"335",57871,"[ -71.236497 , 42.382492]","NORTH WALTHAM",2154,"MA"
"336",57338,"[ -71.108686 , 42.417335]","MEDFORD",2155,"MA"
"337",13271,"[ -71.1902 , 42.353835]","NEWTONVILLE",2158,"MA"
"338",18726,"[ -71.191839 , 42.318889]","NEWTON CENTER",2159,"MA"
"339",8872,"[ -71.208771 , 42.351961]","NEWTONVILLE",2160,"MA"
"340",6657,"[ -71.209347 , 42.318512]","NEWTON HIGHLANDS",2161,"MA"
"341",1427,"[ -71.258025 , 42.330296]","NEWTONVILLE",2162,"MA"
"342",0,"[ -71.141879 , 42.364005]","CAMBRIDGE",2163,"MA"
"343",2597,"[ -71.221615 , 42.312562]","NEWTON UPPER FAL",2164,"MA"
"344",12027,"[ -71.22795 , 42.352366]","NEWTONVILLE",2165,"MA"
"345",6123,"[ -71.247598 , 42.345928]","AUBURNDALE",2166,"MA"
"346",15619,"[ -71.16272 , 42.31903]","BOSTON COLLEGE",2167,"MA"
"347",5759,"[ -71.230703 , 42.327049]","WABAN",2168,"MA"
"348",48920,"[ -70.997816 , 42.249133]","QUINCY",2169,"MA"
"349",18330,"[ -71.018644 , 42.26713]","QUINCY",2170,"MA"
"350",18251,"[ -71.024141 , 42.282519]","QUINCY",2171,"MA"
"351",33930,"[ -71.180266 , 42.371497]","EAST WATERTOWN",2172,"MA"
"352",28994,"[ -71.225916 , 42.445384]","LEXINGTON",2173,"MA"
"353",44539,"[ -71.162517 , 42.417098]","ARLINGTON",2174,"MA"
"354",28228,"[ -71.063191 , 42.458066]","MELROSE",2176,"MA"
"355",24733,"[ -71.174647 , 42.389656]","BELMONT",2178,"MA"
